グリッドi,断面積比A,密度rho,体積V,温度T,圧力P,マッハ数M,流量m
1.0,5.95,1.0,0.06604154598127655,1.0,1.0,0.06604154598127655,0.3929471985885955
2.0,5.311999999999999,0.9990285902723105,0.07007008525529426,0.9996012006677041,0.9986301783375654,0.07008406138729416,0.3718507222340576
3.0,4.718000000000001,0.9966313828069729,0.07409862452931197,0.998630184493517,0.9952661816845564,0.07414942745069072,0.34841965101840894
4.0,4.168,0.9955825465850335,0.07984064378939908,0.9981994551812172,0.9937899555891093,0.0799126193291366,0.3313057817054468
5.0,3.662000000000001,0.997407793155027,0.0873793245654916,0.9989220633165568,0.9963326507064331,0.08742645736320687,0.31915362421157695
6.0,3.2,1.0008977165835853,0.09668811855364351,1.0003108620638101,1.0012088577134253,0.09667309372250055,0.3096797346595353
7.0,2.782,1.0050946928030149,0.10703639052428524,1.0019799294931993,1.0070847094287536,0.10693058536023912,0.2992923118027505
8.0,2.408,1.0091775115410417,0.1182666832420586,1.00360058397105,1.0128111399130406,0.11805434192288274,0.2873998016385794
9.0,2.078,1.0124636296800007,0.1306173175646709,1.004902294841328,1.017427024908813,0.13029832762272642,0.2748056989895502
10.0,1.792,1.0141504173005893,0.14455150534634606,1.0055687526807986,1.019797970155665,0.14415069279965403,0.262701769287418
11.0,1.55,1.0132200573097956,0.16058485552617766,1.0051982264300507,1.018487004591161,0.16016909750894912,0.25219708460494444
12.0,1.3519999999999999,1.008542776982648,0.1790327519953992,1.0033397289498631,1.0119110364921124,0.1787345383200845,0.24412007934992216
13.0,1.1979999999999997,0.9992412624308974,0.19948519492321,0.9996296840622834,0.9988712274657952,0.19952214145845415,0.2388019379375877
14.0,1.088,0.9854944151686442,0.22008786662583305,0.9941081913557709,0.9796880706545141,0.22073910356302665,0.23598215538588024
15.0,1.022,0.9692123986146844,0.23700211591339349,0.9875067317060215,0.9571037680849408,0.23849659933092443,0.23475890780448144
16.0,1.0,0.9535549087514089,0.24535092029144512,0.981095648811622,0.9355285718789705,0.2477034277911985,0.23395557441058315
17.0,1.002223,0.9399463775304747,0.24786496427839402,0.9754765278113745,0.9168956286823069,0.250961286315375,0.2334976893306671
18.0,1.0088920000000001,0.9276048534558415,0.2515659179867093,0.970340541971398,0.9000925962376405,0.2553816650834664,0.2354287481801619
19.0,1.020007,0.9171788447917243,0.25774806105512155,0.965971671516386,0.8859687817829298,0.26224862014610045,0.2411307450710423
20.0,1.035568,0.9089413355534445,0.2660645887122255,0.9625015304585547,0.874857426567233,0.27119792514234925,0.2504387646731141
21.0,1.055575,0.9020335352435783,0.2758432415733625,0.9595794037829222,0.8655728019412344,0.28159302219540416,0.2626480177760518
22.0,1.080028,0.8957453533384998,0.2862251629327461,0.9569096319796536,0.8571473564106287,0.2925986703368599,0.2769028272580791
23.0,1.108927,0.8896782136387085,0.29674208997516693,0.9543245155011782,0.8490417301827142,0.30376036842523835,0.2927622421622665
24.0,1.1422720000000002,0.8837133577850566,0.3072239526579453,0.9517739865923698,0.8410953855440125,0.314911236376584,0.31012446156002615
25.0,1.180063,0.8778494722831705,0.3176368141108682,0.9492579144849738,0.8333055592912572,0.32601585242199116,0.3290455921315288
26.0,1.2223,0.8721130111351812,0.3279854137078479,0.9467882057647994,0.8257063130368147,0.3370762163894243,0.34962711584128814
27.0,1.268983,0.8665288898317095,0.3382819894730171,0.9443762732948563,0.8183293236815989,0.3481018588775517,0.3719784039751332
28.0,1.320112,0.8611147267561606,0.34854485993222367,0.942030488171276,0.8111963264175809,0.3591089285480939,0.3962146029626215
29.0,1.375687,0.8558627168323457,0.35879299500477224,0.9397483418781871,0.8042955690185573,0.3701162653967019,0.4224425900672704
30.0,1.4357080000000002,0.8507790930103178,0.3691112042349007,0.9375318161886265,0.7976324682452757,0.38120994394964586,0.4508583918506988
31.0,1.500175,0.84569546918829,0.3794294134650291,0.9353152904990658,0.7909919034375892,0.3923304147340905,0.481378758069991
