グリッドi,断面積比A,密度rho,体積V,温度T,圧力P,マッハ数M
1.0,5.95,1.0,0.09860674112203738,1.0,1.0,0.09860674112203738
2.0,5.311999999999999,0.9975265990227851,0.11193387201673109,0.9990063048318119,0.9965353616611969,0.11198952757255004
3.0,4.718000000000001,0.9966621801469302,0.1252610029114248,0.9986632926914221,0.9953299345265446,0.12534480558455965
4.0,4.168,0.9939720684044024,0.14257230331088291,0.9975822262802325,0.9915688688592313,0.1427449702603088
5.0,3.662000000000001,0.9913036801156727,0.1622696739279181,0.99651256072029,0.9878465687235163,0.16255336898829653
6.0,3.2,0.9870247331140527,0.18652883666728068,0.9947892757846571,0.981881619436073,0.1870167193269034
7.0,2.782,0.9814837479743139,0.2154345467972936,0.9925545329998318,0.9741761431175697,0.21624105864952872
8.0,2.408,0.9734689911443072,0.25074551772503384,0.9893067616494866,0.9630594551951673,0.25209700707705984
9.0,2.078,0.9623023417053757,0.29355465427984156,0.9847584464854234,0.9476353590670709,0.29581767079129645
10.0,1.792,0.9463573814266273,0.3457557398652477,0.9782101702446601,0.9257364151976317,0.34958542018136923
11.0,1.55,0.9238281103981747,0.4089937245084813,0.9688513747074681,0.8950521347526741,0.4155162993852534
12.0,1.3519999999999999,0.8922053078854316,0.48499632181907903,0.955491594912359,0.8524946726207234,0.49616372499240835
13.0,1.1979999999999997,0.8488991238405421,0.5747286551507951,0.9367449159211144,0.7952019383875163,0.5938163875275427
14.0,1.088,0.7918116591969553,0.6779600426911365,0.9111530980793859,0.7214616463726847,0.7102453846830217
15.0,1.022,0.7207365783403992,0.7924722356983839,0.8776946047745099,0.6325866062730092,0.8458869818786889
16.0,1.0,0.6384793660806323,0.9139476009673002,0.8363502929310493,0.5339924048519675,0.9993720302142056
17.0,1.022,0.5508463962776815,1.0365855025784547,0.78850118688225,0.4343430372547621,1.1673577070402539
18.0,1.088,0.4648317644194791,1.1545351374970672,0.7367071498732766,0.34244488433604076,1.3451159192213267
19.0,1.198,0.3862269188212364,1.263326766270144,0.683933670002271,0.2641535940430774,1.5275966785609603
20.0,1.3520000000000003,0.31827551694053424,1.3605008803763448,0.6327507448406036,0.20138907040865117,1.7103401648484855
21.0,1.55,0.26175098374542993,1.4454888584222751,0.5848732420946934,0.15309114648466499,1.8900960395960382
22.0,1.7920000000000003,0.21584862723916132,1.5188680955935399,0.5411951920250639,0.11681623926704436,2.0646340946109536
23.0,2.0780000000000007,0.17901483154566786,1.5819736211248838,0.501926416938415,0.08985227297655102,2.232951090877098
24.0,2.4080000000000013,0.1496051075312072,1.6360800683930408,0.46695947546811334,0.0698595225401232,2.3942249797703528
25.0,2.782000000000002,0.1260579545852142,1.6828404761545221,0.43586565798932086,0.05494433332007232,2.5489811461551
26.0,3.2,0.10717528038932744,1.7230019556602598,0.4083455276398592,0.04376454642052977,2.6963227043119415
27.0,3.662000000000001,0.0918330950340553,1.7584504532461473,0.3837518675902056,0.03524112172590756,2.838604487199903
28.0,4.168000000000001,0.07944990986477098,1.7885726952580883,0.3620577656839486,0.028765456849430087,2.9724712511063274
29.0,4.718000000000002,0.06902470405976573,1.8166029564725477,0.34223878538219027,0.02362293087877936,3.1052416576242416
30.0,5.312000000000003,0.06093229231788016,1.8391336360806576,0.32523611803375596,0.019817382216365392,3.2248825548559283
31.0,5.95,0.05283988057599459,1.8616643156887676,0.30823345068532165,0.016287018723739114,3.3532156943766567
