グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
1.0,5.95,5.95,0.5907859799749772,14.916062126368827,1.0,0.0992917613403323,1.0,0.0992917613403323,1.0
2.0,5.625500000000001,5.655013141015903,0.5942181330867985,14.209654389404504,1.0052463142860018,0.10507811710938823,1.002009828119036,0.10497268153610041,1.007266686595011
3.0,5.311999999999999,5.314725371440098,0.5976502861986198,13.335790148881815,1.0005130593825489,0.11245177209159882,1.0001454025564585,0.1124435975954623,1.0006585365391532
4.0,5.009500000000001,5.010747001462451,0.5905646233540017,12.576070922787606,1.000248927330562,0.11785959721806706,1.0000383833455184,0.11785733536035876,1.000287320230744
5.0,4.718000000000001,4.718314831709279,0.5895126040667296,11.846852224446938,1.0000667299087067,0.12494134560604765,0.9999582051264893,0.1249439566417618,1.0000249322462278
6.0,4.4375,4.43778060638611,0.5889848628504771,11.14859414517231,1.0000632352419403,0.13272059055891786,0.9999480223090269,0.13272403994830784,1.0000112542641453
7.0,4.168,4.16830511802226,0.5884955955787665,10.47831603856492,1.0000732048997742,0.14118342561688255,0.9999417668933027,0.14118753657117256,1.0000149675301282
8.0,3.9095,3.9097949943320778,0.5879739741881636,9.835706639788032,1.0000754557698115,0.150384860341919,0.9999307876921195,0.15039006485371004,1.000006238239463
9.0,3.662000000000001,3.6620135499214443,0.5880209969771463,9.220113084842108,1.0000037001423931,0.16057313523314523,0.9998891262967824,0.16058203764250467,0.999892826028927
10.0,3.4255000000000004,3.4197446111610477,0.5891503777738383,8.61349646588297,0.9983198397784403,0.17227905728720896,0.9991913019264208,0.17234876043753486,0.9975125004471956
11.0,3.2,3.180377235250918,0.6108054490441566,8.013657060036252,0.9938678860159118,0.19205440231242465,0.9975598440728675,0.19228915336584151,0.9914426934030633
12.0,2.9855,2.9238075662108716,0.6392449942953431,7.3395654199970854,0.9793359793035912,0.21863442782035653,0.9907263158069879,0.21965530713619646,0.9702539267126754
13.0,2.782,2.6826298737185357,0.6402972838817066,6.704104893993574,0.9642810473467058,0.23868267857397582,0.9836802980634193,0.24065446092753606,0.9485442680709137
14.0,2.5895,2.450921662346211,0.6357109592355914,6.092635375161712,0.9464845191528136,0.2593762864811599,0.9755046231747007,0.2626126258102632,0.9233000241968532
15.0,2.408,2.235352248138699,0.6296504182133459,5.529033144850606,0.9283024286290279,0.2816783881545444,0.9671642415943787,0.28642004675323784,0.8978209143552137
16.0,2.2375,2.036286397271669,0.6236267750256184,5.014640773290431,0.9100721328588465,0.30625690760454355,0.9587939642472847,0.31276867281998777,0.872571668014715
17.0,2.078,1.8532467479953563,0.6177866814476477,4.547526865791257,0.8918415534145122,0.3333537113262997,0.9504115590449842,0.34193963187642057,0.8476165212017871
18.0,1.9294999999999998,1.685628275838594,0.6121430216716308,4.125325086950615,0.8736088498774782,0.3631542199700535,0.9420139704037666,0.3741643649746332,0.8229517412529513
