ステップ数,時間ステップ,密度rho,温度T,圧力P,マッハ数M
0.0,0.0,0.634,0.833,0.528122,0.0
1.0,0.011471211841661557,0.6338166276754633,0.8328282650579416,0.5278604023918314,1.0200255584125382
2.0,0.01182727976158177,0.6333959976459834,0.8323807328977757,0.5272266247350815,1.0200891904762914
3.0,0.011902462687355016,0.6327703074004265,0.8316869549365793,0.526266810136144,1.0198486526676482
4.0,0.011911748074086353,0.6319829547198947,0.8307870366990313,0.5250432461960395,1.019364522348443
5.0,0.011911707346865972,0.6310777005545585,0.8297227122882349,0.5236195013687508,1.0187012378755729
6.0,0.0119048432157498,0.6300951117235728,0.8285356554858554,0.5220562664103237,1.0179195812228181
7.0,0.011892882914601128,0.6290693254453503,0.8272649052923671,0.520406975936881,1.017072001482895
8.0,0.011877108349470483,0.6280266365291964,0.8259452554315848,0.5187156207259462,1.0162003169654175
9.0,0.011858519362367531,0.6269856451352085,0.8246064691087239,0.5170164190167996,1.0153354770875223
10.0,0.011837913739556062,0.6259585200510492,0.8232732094985877,0.5153348798154134,1.0144989029678304
11.0,0.011815930623736839,0.6249528451696997,0.8219654595923613,0.5136896526034661,1.0137047366739025
12.0,0.011793080697273658,0.6239735688623476,0.820699189977311,0.5120946025325805,1.0129623588129866
13.0,0.011769771120610445,0.6230246953240955,0.8194870741015148,0.5105606846641307,1.012278672033864
14.0,0.011746328046713463,0.6221105052190559,0.8183391121254038,0.5090973584848485,1.0116598339393412
15.0,0.011723017492676761,0.6212362355937674,0.817263093276227,0.5077134475566413,1.011112311703935
16.0,0.011700064694174651,0.620408260764395,0.816264886453105,0.5064174785274173,1.0106432849256612
17.0,0.01167767161371208,0.6196338888991718,0.8153485919235474,0.5052176188220515,1.0102605287354118
18.0,0.011656031671313271,0.6189209231897523,0.8145166102474937,0.5041213723677664,1.0099719633534743
19.0,0.011635340206555553,0.6182771322327769,0.8137696888478496,0.5031351895188076,1.009785059346303
20.0,0.011615799023418647,0.6177097505762636,0.813106997481327,0.5022641206060051,1.0097062619683466
21.0,0.01159761385422906,0.6172250948222603,0.8125262663393293,0.5015116017868697,1.0097405533785204
22.0,0.011580984675522241,0.6168283362289878,0.8120239989892376,0.5008794122745407,1.0098912136439901
23.0,0.011566090223523952,0.6165234332387782,0.8115957529774432,0.5003678000276647,1.0101597901966106
24.0,0.01155306935845714,0.6163131986542654,0.8112364664153416,0.4999757414814227,1.0105462449521516
25.0,0.011542002725070517,0.6161994591275761,0.8109408009622457,0.49970128293741917,1.011049223240668
26.0,0.011532898238376802,0.6161832590872117,0.8107034702921156,0.49954190647790836,1.011666379533734
27.0,0.011525683296121964,0.6162650652285673,0.8105195271490293,0.49949486926752407,1.0123946993618504
28.0,0.01152020546786784,0.616444938226916,0.8103845895796686,0.4995574782634835,1.0132307707511181
29.0,0.011516241999389817,0.6167226521190008,0.8102949959065493,0.49972727887424195,1.0141709773665988
30.0,0.01151351706306333,0.6170977558693352,0.8102478867941059,0.5000021526385139,1.0152116050694016
31.0,0.011511724496288721,0.6175695836630468,0.8102412201603968,0.5003803330010953,1.016348870417085
32.0,0.011510552960082607,0.6181372289131776,0.8102737300006595,0.5008603581237518,1.0175788915525987
33.0,0.011509710126598847,0.6187995011143727,0.8103448431520013,0.501440984673063,1.0188976279071669
34.0,0.011508942719890433,0.6195548845537063,0.8104545687239316,0.5021210867617794,1.0203008152469708
35.0,0.01150804996682218,0.6204015141863133,0.8106033736912304,0.5028995604425732,1.0217839177892891
36.0,0.011506889148929828,0.621337177852347,0.8107920555203038,0.5037752476020889,1.0233421110116114
37.0,0.011505373273497876,0.6223593468419961,0.811021619304053,0.5047468852648085,1.0249702992946623
38.0,0.011503462140905283,0.6234652299684722,0.8112931633476685,0.5058130786584034,1.026663163534288
39.0,0.011501149022130867,0.6246518408815015,0.8116077740284146,0.5069722901205869,1.0284152268004152
40.0,0.011498445616328958,0.6259160650244756,0.8119664284383274,0.5082228318200954,1.0302209218993217
41.0,0.011495367879385286,0.6272547116269475,0.8123699020060988,0.5095628486172471,1.0320746435594357
42.0,0.011491924778523583,0.6286645372601523,0.8128186779900644,0.5109902780750325,1.0339707696295737
43.0,0.011488111213196667,0.6301422303426967,0.8133128562981504,0.5125027772341056,1.0359036395311108
44.0,0.011483905438077934,0.6316843500365872,0.8138520602964926,0.5140976097343273,1.037867483485443
45.0,0.011479270529700858,0.6332872177082843,0.8144353418654087,0.51577149165324,1.0398563020215663
46.0,0.011474158852845922,0.6349467641138155,0.8150610867172551,0.5175203995662111,1.0418637013493177
47.0,0.0114685181595523,0.6366583403665409,0.8157269237147334,0.5193393494445261,1.043882695897191
48.0,0.011462297948227262,0.6384165053092616,0.8164296434762928,0.5212221598190212,1.0459054943190953
49.0,0.011455454929914144,0.6402148059133985,0.817165132811362,0.5231612169020227,1.0479232892867176
50.0,0.011447956826916886,0.6420455705296396,0.8179283323858655,0.5251472628190397,1.0499260741326342
51.0,0.011439784172803356,0.6438997369368578,0.818713225363866,0.5271692304385197,1.051902510608959
52.0,0.01143093020261382,0.6457667378543873,0.8195128644785237,0.5292141491240009,1.0538398713842114
53.0,0.011421399246708907,0.6476344655583146,0.8203194439311717,0.5312671446574583,1.0557240781614001
54.0,0.01141120422911579,0.6494893341871149,0.8211244206115698,0.5333115532277889,1.0575398513194643
55.0,0.011400363912462526,0.6513164530858618,0.8219186863628692,0.5353291635268549,1.0592709798162416
56.0,0.011388900447042017,0.6530999172024528,0.8226927894876553,0.5373005926974426,1.0609007110811224
57.0,0.011376837611785488,0.6548232114981765,0.8234371996560546,0.5392057915458428,1.062412250422523
58.0,0.011364199928766515,0.6564697162809259,0.8241426062196412,0.5410246628800307,1.0637893490222805
59.0,0.011351012636108933,0.6580232903101271,0.8248002361367843,0.5427377652312966,1.065016950019334
60.0,0.011337302351427924,0.6594688996248727,0.8254021747777687,0.5443270639486719,1.0660818546610977
61.0,0.011323098168428757,0.6607932534714536,0.8259416712333498,0.5457766841119349,1.0669733660210055
62.0,0.01130843290662098,0.6619854054066384,0.8264134096763197,0.5470736160380608,1.0676838669978284
63.0,0.011293344268879754,0.6630372781925644,0.8268137298896336,0.5482083250382649,1.0682092924097881
64.0,0.01127787573576338,0.6639440755352561,0.8271407831201898,0.5491752225862422,1.0685494616515165
65.0,0.011262077117341148,0.6647045515801951,0.8273946135955936,0.5499729656099279,1.0687082478267864
66.0,0.011246004771955176,0.6653211194450932,0.8275771608789269,0.5506045631031596,1.068693570433011
67.0,0.011229721570444691,0.6657997917365907,0.8276921832209414,0.5510772832105069,1.0685172103650653
68.0,0.01121329672411227,0.6661499576793145,0.827745106730138,0.5514023678175412,1.0681944571046842
69.0,0.011196805602471632,0.6663840120212148,0.8277428091529704,0.5515945740850671,1.0677436075635642
70.0,0.01118032964640599,0.6665168593874197,0.8276933501096639,0.5516715722509452,1.0671853435540184
71.0,0.011163956442306125,0.6665653237216567,0.8276056616757085,0.5516532357887445,1.066542019996186
72.0,0.01114777997409454,0.6665474957411243,0.8274892142630963,0.5515608635198574,1.0658368987484355
73.0,0.01113190102419869,0.6664820521222804,0.8273536729491673,0.5514163737780671,1.0650933635962256
74.0,0.011116429732307628,0.6663875788111522,0.8272085588533133,0.551241508706122,1.0643341506542283
75.0,0.01110148260645118,0.6662819280553783,0.8270629292025324,0.5510570830921921,1.06358062644286
76.0,0.011087182235539419,0.6661816347856199,0.8269250881480994,0.5508823070677437,1.062852141749032
77.0,0.011073670188069047,0.6661014133098369,0.8268023384904275,0.5507342061963518,1.062165484355219
78.0,0.011061089271822935,0.6660537510589966,0.826700783101211,0.5506271575879715,1.0615344518392666
79.0,0.01104958037225504,0.6660486106478313,0.826625181944944,0.5505725539609407,1.060969556939957
80.0,0.011039278982277394,0.6660932468964916,0.8265788684942235,0.5505786023313455,1.0604778733691682
81.0,0.011030311514284597,0.6661921409443593,0.826563726959115,0.5506502588898416,1.0600630241898257
82.0,0.01102279157105275,0.6663470492373449,0.8265802293178387,0.5507892967638697,1.0597253090475356
83.0,0.01101681634697681,0.6665571609605637,0.8266275286917196,0.5509944986965996,1.0594619607743185
84.0,0.011012463318301623,0.6668193534245206,0.8267036032245552,0.5512619621759193,1.05926751635295
85.0,0.01100978736255978,0.6671285310574534,0.8268054424064802,0.5515855002629431,1.0591342821728766
86.0,0.011008818425876444,0.6674780301408922,0.8269292658485428,0.5519571174344395,1.0590528691987058
87.0,0.011009559833897736,0.6678600684448622,0.8270707629996163,0.5523675363856682,1.0590127704006485
88.0,0.011011987318805169,0.6682662167107402,0.827225341327494,0.5528067492161751,1.0590029508343708
89.0,0.011016048811493775,0.6686878677399642,0.8273883701613945,0.5532645650360671,1.0590124203199505
90.0,0.011021665024414744,0.6691166788917883,0.8275554077735785,0.5537311260483965,1.0590307598819828
91.0,0.01101502282914148,0.669544441703612,0.827722199461812,0.5541967979243447,1.0590485529169715
92.0,0.010998458310019697,0.6699640750781544,0.8278851032318822,0.5546532774577303,1.05905783132873
93.0,0.010984174253951786,0.6703702598118733,0.8280413602486929,0.5550943018048932,1.0590523639341378
94.0,0.010972054965276543,0.6707590728016434,0.8281889602522972,0.555515259083388,1.0590277198276317
95.0,0.010961960333251527,0.6711279957612449,0.8283266396598034,0.5559131975105308,1.0589812386338218
96.0,0.01095372889347552,0.6714758341408978,0.8284538348384046,0.5562867297953433,1.058911896846878
97.0,0.010947182871644567,0.6718025582814282,0.8285705969402928,0.5566358467412588,1.0588200866682052
98.0,0.010942128334331041,0.67210908277479,0.8286774764696594,0.5569616586261503,1.0587073279951964
99.0,0.010938342218181846,0.6723970029239904,0.8287753870559638,0.5572660863536002,1.0585759372990897
