グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
1.0,5.95,5.95,0.602095658559948,14.917649315536089,1.0,0.1011925476571341,1.0,0.1011925476571341,1.0
2.0,5.625500000000001,5.644446572544281,0.622823102501032,14.176407495874637,1.003367980187411,0.11034263403795305,1.0012177849590258,0.11027550854001611,1.0045898666220512
3.0,5.311999999999999,5.312074584384884,0.6435505464421161,13.31931694413862,1.0000140407351061,0.12114862775719791,0.998836973954794,0.12121913877248407,0.9988509983601594
4.0,5.009500000000001,5.024010837842214,0.6289459086383589,12.615669655105997,1.0028966639070191,0.12518800793600354,1.0000419601578192,0.12518538156437045,1.002938745609313
5.0,4.718000000000001,4.7226931613756955,0.6393343659080359,11.848747993676922,1.000994735348812,0.13537495324422077,0.9984271845701306,0.13548153889802375,0.9994203553838373
6.0,4.4375,4.4488431429011746,0.6319336548095615,11.172479878164273,1.002556201217166,0.1420444898845019,0.9988795411089878,0.14212413432530122,1.0014328782077728
7.0,4.168,4.173413148292242,0.6372760299182899,10.47668678140206,1.0012987399933402,0.15269900373488374,0.9976073224622284,0.15288201194831313,0.998902954989559
8.0,3.9095,3.9172432124538905,0.6334231243054135,9.840685958211052,1.001980614516918,0.16170125007597277,0.9975370647841273,0.1619007485171351,0.9995128011758024
9.0,3.662000000000001,3.6651955572464052,0.6362518543775328,9.206799393597755,1.000872626227855,0.1735928804998163,0.9963435889319093,0.17391111693343103,0.9972130244795664
10.0,3.4255000000000004,3.428278675553633,0.63418440664176,8.617140837639905,1.0008111737129275,0.18498624722780024,0.9958373714595472,0.18537246793308634,0.996645168557626
11.0,3.2,3.198322784263311,0.6357333012239536,8.040498313523425,0.9994758700822846,0.19877083837564752,0.9945265917201966,0.19931705864236418,0.9940053305795125
12.0,2.9855,2.9813475590241545,0.6345848477181012,7.499999383715038,0.9986091304719995,0.21285168372848537,0.993570661560197,0.21353924870760854,0.9921887344031176
13.0,2.782,2.772749622946325,0.6354698809805719,6.97806501570584,0.9966749183847321,0.22918401132278265,0.9919564728560981,0.23011133319972835,0.9886581366250583
14.0,2.5895,2.575948283439366,0.6348053101950031,6.487905472068642,0.9947666667076138,0.2464355803554491,0.9904544252776479,0.24762025304392163,0.9852710471592512
15.0,2.408,2.3882024182587216,0.6353385091129569,6.019107444290421,0.9917784128981403,0.2660321019087623,0.9883237856011815,0.2675989605003484,0.9801981955130217
16.0,2.2375,2.2115427167733115,0.6349358272778881,5.579567953528276,0.9883989795634912,0.2871008651391881,0.9860925542074566,0.28911835313698636,0.9746528743338067
