グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
1,5.95,5.95,0.604535807,14.91799571,1,0.101602657,1,0.101602657,1
2,5.6255,5.642283622,0.62428864,14.17229137,1.00298349,0.110644675,1.00129241,0.110573245,1.004279756
3,5.312,5.311797173,0.644041473,13.31945654,0.999961817,0.121247377,0.998893163,0.121314533,0.998855023
4,5.0095,5.022735343,0.629661251,12.61439689,1.002642049,0.12536222,1.000183448,0.125350722,1.002825981
5,4.718,4.721985997,0.640179693,11.84747402,1.000844849,0.135574246,0.99845444,0.135679137,0.999297983
6,4.4375,4.447984681,0.632447134,11.17201473,1.002362745,0.142187345,0.999020216,0.142257053,1.001380647
7,4.168,4.172632048,0.638160815,10.47516213,1.001111336,0.152939633,0.997628543,0.153121301,0.998737243
8,3.9095,3.916441873,0.633885397,9.84035008,1.001775642,0.16185237,0.997694673,0.162039254,0.999466222
9,3.662,3.664413116,0.637079526,9.205352396,1.000658961,0.173855814,0.996374603,0.174171822,0.997031175
10,3.4255,3.427553391,0.634651473,8.616737651,1.000599443,0.185161659,0.99598489,0.185534505,0.996581926
11,3.2,3.197659805,0.636503719,8.039185967,0.999268689,0.199052982,0.994539492,0.199598683,0.993812174
12,2.9855,2.980679737,0.635060528,7.499483755,0.998385442,0.213058961,0.993702199,0.213733048,0.992097809
13,2.782,2.772149426,0.636177415,6.976856977,0.996459175,0.229488861,0.991960963,0.230416895,0.988448603
14,2.5895,2.575269843,0.63526754,6.487272211,0.99450467,0.24667999,0.990587728,0.24784916,0.985144122
15,2.408,2.387620819,0.635983528,6.017952861,0.991536885,0.266367056,0.988325997,0.267935587,0.979961681
16,2.2375,2.210841681,0.635368946,5.578823052,0.988085667,0.287387809,0.986231624,0.289386908,0.974481332
17,2.078,2.043646864,0.635869831,5.161562999,0.983468173,0.311144671,0.983158065,0.313798378,0.966904667
18,1.9295,1.886759832,0.635413899,4.772650779,0.977849096,0.336775189,0.980062551,0.340183458,0.95835328
19,1.792,1.739552147,0.635805306,4.406252427,0.970732225,0.365499423,0.975787223,0.370006311,0.947228102
20,1.6655,1.602176406,0.635422079,4.066847974,0.961979229,0.396599323,0.9712894,0.402418228,0.934360228
21,1.55,1.47439682,0.635771781,3.749932515,0.951223755,0.431208052,0.965283573,0.438893758,0.918200665
22,1.4455,1.355973108,0.635397375,3.458838063,0.938065104,0.468591428,0.958844629,0.478542176,0.899458687
23,1.352,1.246905427,0.635760562,3.189625047,0.922267328,0.509870715,0.95042206,0.523000151,0.876543214
24,1.2695,1.146659998,0.635330599,2.945063119,0.903237493,0.554070605,0.941395189,0.571056558,0.850303431
25,1.198,1.055347502,0.63577177,2.721107305,0.880924459,0.602428839,0.929741995,0.624776276,0.819032464
26,1.1375,0.972261732,0.635194126,2.520628078,0.854735589,0.653315979,0.917506171,0.682054037,0.784225177
27,1.088,0.897374831,0.635818995,2.338428798,0.824793043,0.708532235,0.901777028,0.746122316,0.743779419
28,1.0495,0.830352897,0.634917187,2.179290843,0.79118904,0.764635361,0.886107464,0.812290138,0.701078514
29,1.022,0.769834915,0.635924409,2.033398306,0.753263127,0.826052957,0.865475548,0.887933597,0.651930818
