ステップ数,時間ステップ密度rho,,温度T,圧力P,マッハ数M
0,0,0.51237,0.64133,0.328598252,1.7895
1,0.010064899,0.512295768,0.641824677,0.328804066,1.786137199
2,0.01005916,0.512308888,0.64236146,0.329087485,1.782821934
3,0.010053909,0.512408635,0.642940122,0.32944807,1.779554518
4,0.010047524,0.512594179,0.64356028,0.329885253,1.776335592
5,0.010041746,0.512864622,0.644221598,0.330398467,1.773165038
6,0.010036557,0.513219006,0.644923694,0.330987097,1.77004257
7,0.010030246,0.513656229,0.645666011,0.331650369,1.766968255
8,0.010024446,0.514175172,0.646448057,0.332387541,1.763941482
9,0.010019235,0.514774666,0.647269304,0.33319784,1.760961464
10,0.010012903,0.515453364,0.648129037,0.334080293,1.758027765
11,0.010007105,0.516209956,0.649026629,0.335034008,1.755139313
12,0.010001691,0.517043067,0.649961406,0.336058039,1.752294951
13,0.009995326,0.51795115,0.650932524,0.337151249,1.74949377
14,0.009989563,0.51893273,0.651939249,0.338312614,1.746734306
15,0.009983548,0.519986204,0.652980726,0.339540969,1.744015222
16,0.009977243,0.521109904,0.654056059,0.34083509,1.741335092
17,0.009971534,0.522302218,0.655164416,0.342193827,1.738692161
18,0.009965049,0.523561326,0.656304784,0.343615803,1.736084962
19,0.009958669,0.524885467,0.657476218,0.345099712,1.733511716
20,0.009951484,0.526272716,0.658677637,0.346644069,1.730970821
21,0.009944915,0.527721303,0.659908109,0.348247567,1.728460256
22,0.009936908,0.529229126,0.661166424,0.349908529,1.725978474
23,0.009928477,0.530794184,0.66245147,0.351625387,1.723523633
24,0.009920697,0.532414622,0.663762264,0.353396735,1.721093602
25,0.009913543,0.534088576,0.665097811,0.355221143,1.718686249
26,0.009906992,0.535814176,0.66645711,0.357097167,1.716299445
27,0.009901022,0.537589545,0.667839155,0.359023348,1.71393107
28,0.009895614,0.539412802,0.669242938,0.360998208,1.711579021
29,0.00989075,0.541282064,0.670667445,0.363020259,1.709241214
30,0.009886412,0.543195447,0.672111667,0.365087998,1.706915593
31,0.009882586,0.545151072,0.673574591,0.367199911,1.704600135
32,0.009879255,0.547147062,0.67505521,0.369354474,1.702292848
33,0.009876407,0.549181544,0.676552518,0.371550156,1.699991786
34,0.009874028,0.551252655,0.678065518,0.373785417,1.697695045
35,0.009872105,0.553358541,0.679593217,0.376058711,1.695400768
36,0.009870628,0.555497358,0.681134631,0.378368488,1.693107153
37,0.009869585,0.557667278,0.682688786,0.380713197,1.690812452
38,0.009868965,0.559866485,0.684254716,0.383091283,1.688514974
39,0.009868758,0.562093181,0.685831469,0.385501192,1.686213088
40,0.009868954,0.564345585,0.687418104,0.387941372,1.683905229
41,0.009869543,0.566621937,0.689013694,0.390410274,1.681589892
42,0.009870516,0.568920497,0.690617328,0.392906353,1.679265642
43,0.009871863,0.571239546,0.692228106,0.395428069,1.676931109
44,0.009873576,0.573577393,0.693845148,0.397973891,1.674584992
45,0.009875647,0.575932366,0.695467588,0.400542294,1.67222606
46,0.009878065,0.578302824,0.697094579,0.403131764,1.669853149
47,0.009880824,0.58068715,0.698725289,0.405740797,1.667465168
48,0.009883914,0.583083755,0.700358906,0.408367901,1.665061093
49,0.009887328,0.585491078,0.701994637,0.411011597,1.66263997
50,0.009891058,0.58790759,0.703631706,0.413670421,1.660200914
51,0.009895095,0.590331788,0.705269357,0.416342921,1.657743106
52,0.009899432,0.592762202,0.706906853,0.419027663,1.655265798
53,0.009904062,0.595197391,0.708543476,0.421723229,1.652768304
54,0.009908975,0.597635947,0.710178529,0.424428217,1.650250004
55,0.009914165,0.600076491,0.711811331,0.427141246,1.647710342
56,0.009919625,0.602517677,0.713441225,0.42986095,1.645148824
57,0.009925346,0.604958191,0.715067569,0.432585983,1.642565014
58,0.009931321,0.60739675,0.716689743,0.43531502,1.639958537
59,0.009937542,0.609832102,0.718307145,0.438046756,1.637329073
60,0.009944002,0.612263027,0.719919192,0.440779903,1.634676358
61,0.009950694,0.614688336,0.72152532,0.443513198,1.63200018
62,0.009957608,0.617106874,0.723124982,0.446245397,1.629300379
63,0.009964738,0.619517512,0.724717653,0.448975277,1.626576845
64,0.009972076,0.621919156,0.72630282,0.451701637,1.623829512
65,0.009979614,0.62431074,0.727879992,0.454423297,1.621058363
66,0.009987343,0.626691229,0.729448695,0.457139099,1.618263421
67,0.009995256,0.629059618,0.731008468,0.459847907,1.615444752
68,0.010003344,0.631414928,0.732558871,0.462548607,1.612602462
69,0.010011599,0.633756214,0.734099478,0.465240106,1.609736694
70,0.010020012,0.636082555,0.735629878,0.467921332,1.606847624
71,0.010028574,0.63839306,0.737149678,0.470591238,1.603935465
72,0.010037277,0.640686865,0.738658496,0.473248796,1.601000462
73,0.010046111,0.642963132,0.740155969,0.475893,1.598042887
74,0.010055068,0.645221052,0.741641745,0.478522867,1.595063043
75,0.010064137,0.647459839,0.743115487,0.481137434,1.59206126
76,0.01007331,0.649678735,0.744576872,0.48373576,1.589037891
77,0.010082576,0.651877005,0.74602559,0.486316927,1.585993314
78,0.010091926,0.654053939,0.747461341,0.488880035,1.582927928
79,0.01010135,0.656208854,0.748883842,0.491424208,1.579842155
80,0.010110837,0.658341087,0.750292819,0.49394859,1.576736434
81,0.010120377,0.660449999,0.75168801,0.496452346,1.573611222
82,0.010129959,0.662534976,0.753069166,0.498934662,1.570466993
83,0.010139572,0.664595424,0.754436047,0.501394745,1.567304236
84,0.010149206,0.666630772,0.755788424,0.503831821,1.564123454
85,0.010158848,0.668640471,0.75712608,0.506245139,1.560925163
86,0.010168488,0.670623991,0.758448807,0.508633966,1.557709892
87,0.010178114,0.672580825,0.759756407,0.510997591,1.554478178
88,0.010187714,0.674510487,0.761048692,0.513335324,1.551230571
89,0.010197275,0.676412508,0.762325483,0.515646491,1.547967629
90,0.010206786,0.678286441,0.763586609,0.517930443,1.544689916
91,0.010216233,0.680131858,0.764831909,0.520186548,1.541398006
92,0.010223234,0.681947932,0.766060948,0.52241368,1.538093245
93,0.010212033,0.683731151,0.76727146,0.524607399,1.534782101
94,0.010200971,0.685481372,0.768463441,0.526767374,1.531465141
95,0.010190062,0.687198476,0.769636898,0.528893303,1.528142919
96,0.010179315,0.688882365,0.770791845,0.530984909,1.524815977
97,0.010168744,0.69053296,0.771928308,0.533041939,1.521484842
98,0.010158356,0.692150201,0.773046318,0.535064164,1.518150033
99,0.010148163,0.693734047,0.774145916,0.537051379,1.514812051
100,0.010138116,0.695284464,0.775227142,0.539003388,1.511471408
101,0.010127197,0.696801283,0.776289938,0.540919825,1.508128937
102,0.010116461,0.698284516,0.777334365,0.54280055,1.504785117
103,0.010105918,0.699734188,0.77836049,0.544645445,1.501440411
104,0.010095576,0.70115034,0.779368387,0.54645441,1.498095269
105,0.010085444,0.702533026,0.780358135,0.548227362,1.494750127
106,0.010075528,0.703882311,0.781329815,0.549964236,1.491405407
107,0.010065835,0.705198272,0.782283515,0.551664983,1.488061519
108,0.01005637,0.706480997,0.783219325,0.55332957,1.484718857
109,0.010047139,0.707730584,0.784137341,0.554957978,1.481377806
110,0.010038146,0.708947138,0.785037659,0.556550202,1.478038736
111,0.010028508,0.710130673,0.785920302,0.558106113,1.474702298
112,0.010018712,0.711281274,0.786785344,0.559625681,1.471368975
113,0.010009149,0.712399082,0.787632893,0.56110895,1.468039104
114,0.009999823,0.713484247,0.788463063,0.562555975,1.464713013
115,0.009990738,0.714536923,0.789275969,0.563966822,1.461391016
116,0.009981899,0.715557274,0.790071725,0.56534157,1.458073416
117,0.009973308,0.716545467,0.79085045,0.566680305,1.454760504
118,0.009964967,0.717501674,0.791612262,0.567983123,1.451452561
119,0.009956878,0.718426075,0.792357282,0.569250132,1.448149857
120,0.00994868,0.719318818,0.793085604,0.570481399,1.444852771
121,0.009939772,0.720180012,0.793797283,0.571676937,1.441561872
122,0.009931113,0.72100986,0.794492447,0.572836888,1.438277401
